artist_name,genre,artist_id,artist_url
2Pac,Hip Hop,59,https://genius.com/artists/2pac
Aerosmith,Rock,533,https://genius.com/artists/Aerosmith
Alicia Keys,R&B,362,https://genius.com/artists/Alicia-keys
Beyonce,R&B,498,https://genius.com/artists/Beyonce
Bob Dylan,Rock,181,https://genius.com/artists/Bob-dylan
Bon Jovi,Rock,16698,https://genius.com/artists/Bon-jovi
Britney Spears,Pop,1052,https://genius.com/artists/Britney-spears
Bruno Mars,R&B,500,https://genius.com/artists/Bruno-mars
Céline Dion,Pop,65300,https://genius.com/artists/Celine-dion
Def Leppard,Rock,38335,https://genius.com/artists/Def-leppard
DMX,Hip Hop,77,https://genius.com/artists/Dmx
Drake,Hip Hop,130,https://genius.com/artists/Drake
Eagles,Rock,561,https://genius.com/artists/Eagles
Elton John,Pop,560,https://genius.com/artists/Elton-john
Eminem,Hip Hop,45,https://genius.com/artists/Eminem
Flo Rida,Hip Hop,1081,https://genius.com/artists/Flo-rida
Garth Brooks,Country,15266,https://genius.com/artists/Garth-brooks
Guns N' Roses,Rock,637,https://genius.com/artists/Guns-n-roses
Janet Jackson,R&B,2122,https://genius.com/artists/Janet-jackson
JAY-Z,Hip Hop,2,https://genius.com/artists/Jay-z
Johnny Cash,Country,1167,https://genius.com/artists/Johnny-cash
Justin Bieber,Pop,357,https://genius.com/artists/Justin-bieber
Kanye West,Hip Hop,72,https://genius.com/artists/Kanye-west
Katy Perry,Pop,1195,https://genius.com/artists/Katy-perry
Kenny Chesney,Country,13443,https://genius.com/artists/Kenny-chesney
Lady Gaga,Pop,447,https://genius.com/artists/Lady-gaga
Led Zeppelin,Rock,562,https://genius.com/artists/Led-zeppelin
Lil Wayne,Hip Hop,4,https://genius.com/artists/Lil-wayne
Luke Bryan,Country,22764,https://genius.com/artists/Luke-bryan
Madonna,Pop,276,https://genius.com/artists/Madonna
Mariah Carey,R&B,1205,https://genius.com/artists/Mariah-carey
Mary J. Blige,R&B,358,https://genius.com/artists/Mary-j-blige
Micheal Jackson,Pop,2249517,https://genius.com/artists/Micheal-jackson
Nicki Minaj,Hip Hop,92,https://genius.com/artists/Nicki-minaj
Pink Floyd,Rock,694,https://genius.com/artists/Pink-floyd
Queen,Rock,563,https://genius.com/artists/Queen
Reba McEntire,Country,59794,https://genius.com/artists/Reba-mcentire
Rihanna,Pop,89,https://genius.com/artists/Rihanna
Shania Twain,Country,139398,https://genius.com/artists/Shania-twain
Snoop Dogg,Hip Hop,46,https://genius.com/artists/Snoop-dogg
Stevie Wonder,R&B,1602,https://genius.com/artists/Stevie-wonder
Taylor Swift,Pop,1177,https://genius.com/artists/Taylor-swift
The Chicks,Country,24366,https://genius.com/artists/The-chicks
The Rolling Stones,Rock,774,https://genius.com/artists/The-rolling-stones
The Weeknd,R&B,2358,https://genius.com/artists/The-weeknd
Tim McGraw,Country,4791,https://genius.com/artists/Tim-mcgraw
Usher,R&B,132,https://genius.com/artists/Usher
Whitney Houston,R&B,8534,https://genius.com/artists/Whitney-houston
Ariana Grande,Pop,26507,https://genius.com/artists/Ariana-grande
Charli xcx,Pop,45349,https://genius.com/artists/Charli-xcx
Nine Inch Nails,Rock,12757,https://genius.com/artists/Nine-inch-nails
Sabrina Carpenter,Pop,249592,https://genius.com/artists/Sabrina-carpenter
Calvin Harris,Pop,2069,https://genius.com/artists/Calvin-harris
